date,best_bid,best_ask,total_bid_depth,total_ask_depth,volume_by_product
2020-03-23T08:34:00.037, 645755.0, 645783.0, 6866.71644737, 6660.19570389, 193044.45181837
2020-03-23T08:35:00.02, 644834.0, 644902.0, 6981.04250879, 6656.00010997, 193016.9267264
2020-03-23T08:35:59.773, 646007.0, 646133.0, 7017.27288071, 6648.34236672, 192927.37822081
2020-03-23T08:37:00.293, 644137.0, 644185.0, 6947.20492219, 6670.47868461, 192940.77825994
2020-03-23T08:38:00.573, 642976.0, 643033.0, 6969.29351596, 6691.33395912, 192987.8287161
2020-03-23T08:38:59.28, 641633.0, 641744.0, 6894.83817324, 6707.21828739, 193112.74113396
2020-03-23T08:39:56.437, 639485.0, 640160.0, 6851.30287892, 6745.21639067, 193379.14415994
2020-03-23T08:41:00.37, 641499.0, 641518.0, 6928.56916683, 6686.45911543, 193585.85776802
2020-03-23T08:42:00.473, 642679.0, 642777.0, 6923.76815911, 6682.18439386, 193760.21380634
2020-03-23T08:43:00.793, 641327.0, 641480.0, 6931.87714514, 6675.5572668, 193792.2219604
2020-03-23T08:44:00.837, 641697.0, 641800.0, 6946.13458473, 6711.85777544, 193789.8535073
2020-03-23T08:45:00.383, 642188.0, 642267.0, 6949.30399242, 6698.9181154, 193754.01891919
2020-03-23T08:46:00.623, 641899.0, 641935.0, 6950.39590247, 6733.03022316, 193765.70507529
2020-03-23T08:47:00.73, 643273.0, 643345.0, 6965.19883912, 6719.20009096, 193843.95628062
2020-03-23T08:48:00.697, 642249.0, 642354.0, 6959.5688652, 6717.80269416, 193807.95241165
2020-03-23T08:49:00.597, 641053.0, 641104.0, 6948.77649707, 6721.49996409, 193772.05526107
2020-03-23T08:49:57.427, 637500.0, 637870.0, 6892.72593271, 6740.98224867, 193857.50136509
2020-03-23T08:51:00.467, 638503.0, 638680.0, 6922.332753, 6714.7187957, 193952.49080205
2020-03-23T08:51:58.913, 637233.0, 637384.0, 6907.89298935, 6713.92273086, 194028.24419566
2020-03-23T08:53:00.077, 637278.0, 637382.0, 6956.78356523, 6737.81791029, 194066.05240411
2020-03-23T08:54:00.003, 637874.0, 637949.0, 6951.43562627, 6700.83924548, 194241.79946664
2020-03-23T08:54:59.74, 636965.0, 637038.0, 6944.15718182, 6774.90376601, 194269.21731865
2020-03-23T08:56:00.34, 635502.0, 635525.0, 6919.30323871, 6765.54095036, 194365.59790378
2020-03-23T08:56:59.723, 637233.0, 637370.0, 6925.12787476, 6730.4489568, 194457.28808992
2020-03-23T08:57:58.957, 637853.0, 637929.0, 6959.69809244, 6720.81475897, 194499.66756138
2020-03-23T08:59:00.203, 637071.0, 637161.0, 6910.06425539, 6736.74134033, 194494.82231088
2020-03-23T09:00:00.38, 636622.0, 636686.0, 6925.93342886, 6748.17659645, 194536.88592897
2020-03-23T09:00:58.857, 639083.0, 639290.0, 6921.15582036, 6679.09658975, 194656.48122696
2020-03-23T09:02:00.397, 640683.0, 640856.0, 6899.16805012, 6644.13253111, 194804.56130173
2020-03-23T09:02:59.977, 640415.0, 640554.0, 6899.80267048, 6682.75313102, 194934.70477801
2020-03-23T09:04:00.027, 641474.0, 641590.0, 5957.68192771, 6680.44439771, 195017.76864833
2020-03-23T09:04:59.447, 641194.0, 641291.0, 5989.60458077, 6698.32391559, 195040.54188949
2020-03-23T09:06:00.33, 640763.0, 640773.0, 6840.24285934, 6720.64882733, 195102.97601261
2020-03-23T09:07:00.423, 640546.0, 640719.0, 6857.56284676, 6713.04366735, 195154.12194027
2020-03-23T09:08:00.1, 640416.0, 640568.0, 6851.32925686, 6709.64615335, 195147.71762962
2020-03-23T09:08:59.747, 640637.0, 640826.0, 6842.24027168, 6709.02212543, 195131.51209525
2020-03-23T09:10:00.197, 641182.0, 641274.0, 6856.35853244, 6700.16098772, 195124.87212239
2020-03-23T09:11:00.19, 641933.0, 642125.0, 6856.69009049, 6709.83344614, 195093.10242849
2020-03-23T09:12:00.657, 640177.0, 640198.0, 6831.61075956, 6722.00428351, 195080.43493155
2020-03-23T09:13:00.387, 638816.0, 639108.0, 6836.93948593, 6704.01014264, 195105.35519743
2020-03-23T09:13:59.883, 639897.0, 639941.0, 6869.57267243, 6691.20321339, 195134.15570127
2020-03-23T09:14:59.913, 639726.0, 639792.0, 6858.44184458, 6687.87545413, 195100.213453
2020-03-23T09:16:00.16, 639528.0, 639673.0, 6865.05585121, 6687.6134999, 194953.31730476
2020-03-23T09:17:00.477, 638212.0, 638250.0, 6862.7344699, 6679.36349226, 194959.28525895
2020-03-23T09:17:59.593, 637687.0, 637709.0, 6890.35589806, 6675.81559509, 195027.07613679
2020-03-23T09:18:59.907, 637824.0, 637957.0, 6880.13954796, 6663.28834006, 195080.35198919
2020-03-23T09:20:00.24, 638598.0, 638728.0, 6918.87896417, 6669.61503305, 195124.72541058
2020-03-23T09:20:55.787, 635422.0, 635850.0, 6860.21485243, 6694.2113754, 195364.97862959
2020-03-23T09:22:00.203, 634525.0, 634616.0, 6864.6123529, 6692.59010617, 195573.30328305
2020-03-23T09:23:00.517, 636600.0, 636623.0, 6901.54200074, 6663.82314038, 195814.21074902
2020-03-23T09:24:00.797, 637094.0, 637102.0, 6913.31760549, 6651.21666675, 195902.44770585
2020-03-23T09:24:59.407, 635803.0, 635814.0, 6895.26219981, 6697.88609016, 195920.0546594
2020-03-23T09:25:59.977, 635226.0, 635325.0, 6922.84908487, 6708.2816547, 195974.69081359
2020-03-23T09:26:57.88, 634191.0, 634559.0, 6927.8592122, 6704.82723554, 196066.57218528
2020-03-23T09:27:57.937, 636987.0, 637434.0, 6917.40738576, 6631.51930766, 196292.22806375
2020-03-23T09:28:59.63, 637584.0, 637679.0, 6940.85907961, 6625.32238332, 196343.73018157
2020-03-23T09:29:59.42, 637237.0, 637257.0, 6954.85286878, 6647.76553224, 196343.12885813
2020-03-23T09:30:59.577, 639453.0, 639644.0, 6934.48685516, 6622.22701193, 196500.03443001
2020-03-23T09:31:59.647, 640443.0, 640525.0, 6936.93271375, 6621.45727806, 196613.22351958
